Row Labels,Count of ActivityDate,Average of TotalSteps,Average of TotalDistance,Average of VeryActiveDistance,Average of ModeratelyActiveDistance,Average of LightActiveDistance,Average of Calories,Average of VeryActiveMinutes,Average of FairlyActiveMinutes,Average of LightlyActiveMinutes,Average of SedentaryMinutes
8877689391,31,12116.74194,7.809677386,2.858387113,0.79419354,4.152903241,1816.419355,38.70967742,19.16129032,219.9354839,848.1612903
8583815059,31,5743.903226,3.91483873,0.939354843,0.360645162,2.60677418,1483.354839,8.677419355,5.806451613,153.483871,1257.741935
8378563200,31,7282.966667,5.295333354,0.730000001,0.951000002,3.609000021,2811.3,9.566666667,21.36666667,178.4666667,1161.866667
8053475328,31,2580.064516,1.706129037,0.008387097,0.049032256,1.647419338,1573.483871,0.129032258,1.290322581,115.4516129,1206.612903
7086361926,31,916.1290323,0.634516123,0.095806451,0.031290323,0.507096769,2172.806452,1.322580645,0.774193548,38.58064516,1317.419355
6962181067,31,11370.64516,8.084193491,2.421612884,0.720000003,4.942580638,2509.967742,36.29032258,19.35483871,257.4516129,1112.580645
5553957443,31,5566.870968,3.454838715,0.006129032,0.011290322,3.43612904,1540.645161,0.096774194,0.258064516,256.6451613,689.4193548
4702921684,31,4716.870968,3.187741904,0.106774193,0.097741935,2.980322567,1724.16129,1.35483871,2.580645161,198.1935484,1220.096774
4558609924,31,9519.666667,6.355555536,1.059444433,1.074999991,4.221666708,2043.444444,13.5,20.55555556,252.5,687.1666667
4445114986,31,7555.774194,5.10161286,0.676129031,0.276129032,4.143548414,1916.967742,14.09677419,6.129032258,308,1097.193548
4388161847,31,6861.65,4.707000041,0.629499997,0.152999998,3.909999967,1933.1,9.15,4.1,327.9,1077.55
4319703577,31,10984.56667,7.516999944,1.614999982,2.750999979,3.134333344,1513.666667,18.9,61.26666667,174.7666667,707.5333333
4020332650,31,2267.225806,1.626129039,0.142258061,0.129677417,1.308387082,2385.806452,5.193548387,5.35483871,76.93548387,1237.258065
2873212765,31,3838,2.862500012,0.052499998,0.064999998,2.6875,1973.75,0.75,1.5,103,1217.25
2320127002,31,7268.83871,4.892258047,0.278064516,0.502258065,3.768709638,2037.677419,3.580645161,12.32258065,228.7741935,735.8064516
2026352035,31,10813.93548,8.393225893,1.719354835,0.901935478,5.396129047,3093.870968,23.16129032,20.35483871,229.3548387,836.6774194
2022484408,31,4796.548387,3.24580644,0.523225811,0.07548387,2.64483871,2186.193548,6.612903226,1.741935484,209.0967742,829.9032258
1927972279,31,7685.129032,5.080645177,0.549354839,0.682258066,3.847741946,2033.258065,10.38709677,13.70967742,284.9677419,1093.612903
1844505072,31,8572.064516,6.955161283,0.417419355,1.304838709,5.225483921,2965.548387,5.129032258,26.03225806,237.483871,766.4193548
1624580081,31,8612.580645,5.63967745,1.464193549,0.669032263,3.504516096,1875.677419,23.41935484,13,206.1935484,668.3548387
1503960366,31,8304.433333,6.213333305,3.113666656,0.658000005,2.427999989,3359.633333,87.33333333,29.83333333,147.9333333,754.4333333
5577150313,30,7046.714286,5.342142914,0.128214285,0.083928572,4.843214299,2261.142857,1.571428571,2.035714286,288.3571429,796.2857143
3977333714,30,5649.551724,4.272413805,0.085517242,0.128275863,4.048620709,2599.62069,2.75862069,3.793103448,227.4482759,1193.034483
1644430081,30,2519.692308,1.813461516,0.709230767,0.38423077,0.711538466,2131.769231,11,14.80769231,40.15384615,1299.423077
8792009665,29,9794.806452,6.585806478,1.616451619,0.959999993,4.001612925,1982.032258,22.80645161,18.51612903,245.8064516,662.3225806
6290855005,29,11323.42308,8.015384591,2.414999987,0.73846153,4.861538447,2544,31.03846154,16.26923077,280.7307692,1055.346154
6117666160,28,9371.774194,6.388064508,2.781290325,0.773225805,2.818709662,2566.354839,42.58064516,25.35483871,143.8387097,850.4516129
7007744171,26,14763.29032,11.4751612,8.514838742,0.423870965,2.533870955,2945.806452,85.16129032,9.580645161,150.9677419,1148
6775888955,26,6482.157895,4.667368468,2.21421049,0.695789477,1.754736845,1788,20.52631579,14.31578947,116.8947368,1287.368421
3372868164,20,8717.709677,6.913548462,2.503548402,0.519032255,3.889354821,3436.580645,58.67741935,10.25806452,156.0967742,716.1290323
8253242879,19,7198.516129,5.615483822,0.798064526,1.020645153,2.617419347,2732.032258,9.677419355,22.19354839,138.2903226,1267.225806
2347167796,18,1853.724138,1.186551717,0.024827587,0.058275863,1.103448271,1962.310345,0.965517241,4.034482759,91.79310345,1060.482759
4057192912,4,16040.03226,13.21290314,6.637419362,0.337741935,6.188709674,3420.258065,66.06451613,9.935483871,234.7096774,1112.870968
,,,,1.502680851,0.567542551,3.340819149,,21.16489362,13.56489362,192.812766,991.2106383
